task_id,task_name,mission_id,segment_id,location_x,location_y,release_time
t83,vacuum,m10,m10_s1,16.8786,75.4328,90.0
t84,empty_bin,m10,m10_s1,16.8786,75.4328,90.0
t85,inspect,m10,m10_s2,70.1094,25.1742,90.0
t86,vacuum,m10,m10_s2,70.1094,25.1742,90.0
t87,mop,m10,m10_s2,70.1094,25.1742,90.0
t88,disinfect,m10,m10_s2,70.1094,25.1742,90.0
t89,vacuum,m10,m10_s3,52.4351,31.6506,90.0
t90,empty_bin,m10,m10_s3,52.4351,31.6506,90.0
t91,inspect,m11,m11_s1,73.1638,36.7081,100.0
t92,vacuum,m11,m11_s1,73.1638,36.7081,100.0
t93,mop,m11,m11_s1,73.1638,36.7081,100.0
t94,disinfect,m11,m11_s1,73.1638,36.7081,100.0
t95,vacuum,m11,m11_s2,21.1904,19.7302,100.0
t96,empty_bin,m11,m11_s2,21.1904,19.7302,100.0
t97,inspect,m11,m11_s3,44.9095,21.0193,100.0
t98,vacuum,m11,m11_s3,44.9095,21.0193,100.0
t99,mop,m11,m11_s3,44.9095,21.0193,100.0
t100,disinfect,m11,m11_s3,44.9095,21.0193,100.0
t101,vacuum,m12,m12_s1,46.7669,71.8258,110.0
t102,empty_bin,m12,m12_s1,46.7669,71.8258,110.0
t103,inspect,m12,m12_s2,31.952,17.5457,110.0
t104,vacuum,m12,m12_s2,31.952,17.5457,110.0
t105,mop,m12,m12_s2,31.952,17.5457,110.0
t106,disinfect,m12,m12_s2,31.952,17.5457,110.0
t107,vacuum,m12,m12_s3,79.803,40.7621,110.0
t108,empty_bin,m12,m12_s3,79.803,40.7621,110.0
t109,inspect,m13,m13_s1,7.2728,3.7693,120.0
t110,vacuum,m13,m13_s1,7.2728,3.7693,120.0
t111,mop,m13,m13_s1,7.2728,3.7693,120.0
t112,disinfect,m13,m13_s1,7.2728,3.7693,120.0
t113,vacuum,m13,m13_s2,8.7719,50.1957,120.0
t114,empty_bin,m13,m13_s2,8.7719,50.1957,120.0
t115,inspect,m13,m13_s3,63.3663,33.7728,120.0
t116,vacuum,m13,m13_s3,63.3663,33.7728,120.0
t117,mop,m13,m13_s3,63.3663,33.7728,120.0
t118,disinfect,m13,m13_s3,63.3663,33.7728,120.0
t119,vacuum,m14,m14_s1,5.0822,30.5295,130.0
t120,empty_bin,m14,m14_s1,5.0822,30.5295,130.0
t121,inspect,m14,m14_s2,79.6897,42.3291,130.0
t122,vacuum,m14,m14_s2,79.6897,42.3291,130.0
t123,mop,m14,m14_s2,79.6897,42.3291,130.0
t124,disinfect,m14,m14_s2,79.6897,42.3291,130.0
t125,vacuum,m14,m14_s3,77.6863,68.8624,130.0
t126,empty_bin,m14,m14_s3,77.6863,68.8624,130.0
t127,inspect,m15,m15_s1,0.9185,57.6577,140.0
t128,vacuum,m15,m15_s1,0.9185,57.6577,140.0
t129,mop,m15,m15_s1,0.9185,57.6577,140.0
t130,disinfect,m15,m15_s1,0.9185,57.6577,140.0
t131,vacuum,m15,m15_s2,54.5368,42.9576,140.0
t132,empty_bin,m15,m15_s2,54.5368,42.9576,140.0
t133,inspect,m15,m15_s3,21.346,51.2769,140.0
t134,vacuum,m15,m15_s3,21.346,51.2769,140.0
t135,mop,m15,m15_s3,21.346,51.2769,140.0
t136,disinfect,m15,m15_s3,21.346,51.2769,140.0
t137,vacuum,m16,m16_s1,8.9242,34.7812,150.0
t138,empty_bin,m16,m16_s1,8.9242,34.7812,150.0
t139,inspect,m16,m16_s2,36.2979,76.3053,150.0
t140,vacuum,m16,m16_s2,36.2979,76.3053,150.0
t141,mop,m16,m16_s2,36.2979,76.3053,150.0
t142,disinfect,m16,m16_s2,36.2979,76.3053,150.0
t143,vacuum,m16,m16_s3,70.0682,21.0711,150.0
t144,empty_bin,m16,m16_s3,70.0682,21.0711,150.0
t145,inspect,m17,m17_s1,40.0469,14.2922,160.0
t146,vacuum,m17,m17_s1,40.0469,14.2922,160.0
t147,mop,m17,m17_s1,40.0469,14.2922,160.0
t148,disinfect,m17,m17_s1,40.0469,14.2922,160.0
t149,vacuum,m17,m17_s2,73.0102,69.6415,160.0
t150,empty_bin,m17,m17_s2,73.0102,69.6415,160.0
t151,inspect,m17,m17_s3,23.8756,51.116,160.0
t152,vacuum,m17,m17_s3,23.8756,51.116,160.0
t153,mop,m17,m17_s3,23.8756,51.116,160.0
t154,disinfect,m17,m17_s3,23.8756,51.116,160.0
t155,vacuum,m18,m18_s1,48.7176,12.2271,170.0
t156,empty_bin,m18,m18_s1,48.7176,12.2271,170.0
t157,inspect,m18,m18_s2,61.0009,43.1503,170.0
t158,vacuum,m18,m18_s2,61.0009,43.1503,170.0
t159,mop,m18,m18_s2,61.0009,43.1503,170.0
t160,disinfect,m18,m18_s2,61.0009,43.1503,170.0
t161,vacuum,m18,m18_s3,62.2901,42.4283,170.0
t162,empty_bin,m18,m18_s3,62.2901,42.4283,170.0
t163,inspect,m19,m19_s1,0.0458,25.9325,180.0
t164,vacuum,m19,m19_s1,0.0458,25.9325,180.0
t165,mop,m19,m19_s1,0.0458,25.9325,180.0
t166,disinfect,m19,m19_s1,0.0458,25.9325,180.0
t167,vacuum,m19,m19_s2,1.5581,74.3279,180.0
t168,empty_bin,m19,m19_s2,1.5581,74.3279,180.0
t169,inspect,m19,m19_s3,70.2978,66.5332,180.0
t170,vacuum,m19,m19_s3,70.2978,66.5332,180.0
t171,mop,m19,m19_s3,70.2978,66.5332,180.0
t172,disinfect,m19,m19_s3,70.2978,66.5332,180.0
t173,vacuum,m20,m20_s1,24.6011,4.634,190.0
t174,empty_bin,m20,m20_s1,24.6011,4.634,190.0
t175,inspect,m20,m20_s2,70.2408,75.756,190.0
t176,vacuum,m20,m20_s2,70.2408,75.756,190.0
t177,mop,m20,m20_s2,70.2408,75.756,190.0
t178,disinfect,m20,m20_s2,70.2408,75.756,190.0
t179,vacuum,m20,m20_s3,6.8523,38.8792,190.0
t180,empty_bin,m20,m20_s3,6.8523,38.8792,190.0
