task_id,task_name,mission_id,segment_id,task_scope,location_x,location_y,release_time
t32,harvest,m4,m4_s1,segment,82.574,7.385,2026-01-01T08:00:30.00
t33,inspect,m4,m4_s2,segment,99.3207,163.5966,2026-01-01T08:00:30.00
t34,spray,m4,m4_s2,segment,99.3207,163.5966,2026-01-01T08:00:30.00
t35,harvest,m4,m4_s2,segment,99.3207,163.5966,2026-01-01T08:00:30.00
t36,inspect,m4,m4_s3,segment,131.5782,106.6967,2026-01-01T08:00:30.00
t37,harvest,m4,m4_s3,segment,131.5782,106.6967,2026-01-01T08:00:30.00
t39,survey_field,m5,,mission,171.0251,29.9376,2026-01-01T08:00:40.00
t48,final_inspection,m5,,mission,171.0251,29.9376,2026-01-01T08:00:40.00
t40,inspect,m5,m5_s1,segment,113.4471,74.835,2026-01-01T08:00:40.00
t41,spray,m5,m5_s1,segment,113.4471,74.835,2026-01-01T08:00:40.00
t42,harvest,m5,m5_s1,segment,113.4471,74.835,2026-01-01T08:00:40.00
t43,inspect,m5,m5_s2,segment,120.2609,22.5831,2026-01-01T08:00:40.00
t44,harvest,m5,m5_s2,segment,120.2609,22.5831,2026-01-01T08:00:40.00
t45,inspect,m5,m5_s3,segment,155.1025,19.3212,2026-01-01T08:00:40.00
t46,spray,m5,m5_s3,segment,155.1025,19.3212,2026-01-01T08:00:40.00
t47,harvest,m5,m5_s3,segment,155.1025,19.3212,2026-01-01T08:00:40.00
t49,survey_field,m6,,mission,33.2727,161.49,2026-01-01T08:00:50.00
t57,final_inspection,m6,,mission,33.2727,161.49,2026-01-01T08:00:50.00
t50,inspect,m6,m6_s1,segment,189.5388,86.6463,2026-01-01T08:00:50.00
t51,harvest,m6,m6_s1,segment,189.5388,86.6463,2026-01-01T08:00:50.00
t52,inspect,m6,m6_s2,segment,82.8162,49.0964,2026-01-01T08:00:50.00
t53,spray,m6,m6_s2,segment,82.8162,49.0964,2026-01-01T08:00:50.00
t54,harvest,m6,m6_s2,segment,82.8162,49.0964,2026-01-01T08:00:50.00
t55,inspect,m6,m6_s3,segment,54.9407,123.4506,2026-01-01T08:00:50.00
t56,harvest,m6,m6_s3,segment,54.9407,123.4506,2026-01-01T08:00:50.00
t58,survey_field,m7,,mission,35.6921,23.8965,2026-01-01T08:01:00.00
t67,final_inspection,m7,,mission,35.6921,23.8965,2026-01-01T08:01:00.00
t59,inspect,m7,m7_s1,segment,91.147,32.9876,2026-01-01T08:01:00.00
t60,spray,m7,m7_s1,segment,91.147,32.9876,2026-01-01T08:01:00.00
t61,harvest,m7,m7_s1,segment,91.147,32.9876,2026-01-01T08:01:00.00
t62,inspect,m7,m7_s2,segment,129.745,164.2111,2026-01-01T08:01:00.00
t63,harvest,m7,m7_s2,segment,129.745,164.2111,2026-01-01T08:01:00.00
t64,inspect,m7,m7_s3,segment,155.5023,96.0267,2026-01-01T08:01:00.00
t65,spray,m7,m7_s3,segment,155.5023,96.0267,2026-01-01T08:01:00.00
t66,harvest,m7,m7_s3,segment,155.5023,96.0267,2026-01-01T08:01:00.00
t68,survey_field,m8,,mission,69.5143,86.9421,2026-01-01T08:01:10.00
t76,final_inspection,m8,,mission,69.5143,86.9421,2026-01-01T08:01:10.00
t69,inspect,m8,m8_s1,segment,1.0017,142.5146,2026-01-01T08:01:10.00
t70,harvest,m8,m8_s1,segment,1.0017,142.5146,2026-01-01T08:01:10.00
t71,inspect,m8,m8_s2,segment,66.3314,63.8846,2026-01-01T08:01:10.00
t72,spray,m8,m8_s2,segment,66.3314,63.8846,2026-01-01T08:01:10.00
t73,harvest,m8,m8_s2,segment,66.3314,63.8846,2026-01-01T08:01:10.00
t74,inspect,m8,m8_s3,segment,15.985,89.6112,2026-01-01T08:01:10.00
t75,harvest,m8,m8_s3,segment,15.985,89.6112,2026-01-01T08:01:10.00
t77,survey_field,m9,,mission,116.5698,78.1174,2026-01-01T08:01:20.00
t86,final_inspection,m9,,mission,116.5698,78.1174,2026-01-01T08:01:20.00
t78,inspect,m9,m9_s1,segment,173.9091,134.6706,2026-01-01T08:01:20.00
t79,spray,m9,m9_s1,segment,173.9091,134.6706,2026-01-01T08:01:20.00
t80,harvest,m9,m9_s1,segment,173.9091,134.6706,2026-01-01T08:01:20.00
t81,inspect,m9,m9_s2,segment,48.2816,105.0708,2026-01-01T08:01:20.00
t82,harvest,m9,m9_s2,segment,48.2816,105.0708,2026-01-01T08:01:20.00
t83,inspect,m9,m9_s3,segment,182.1068,104.0219,2026-01-01T08:01:20.00
t84,spray,m9,m9_s3,segment,182.1068,104.0219,2026-01-01T08:01:20.00
t85,harvest,m9,m9_s3,segment,182.1068,104.0219,2026-01-01T08:01:20.00
t87,survey_field,m10,,mission,120.421,12.5547,2026-01-01T08:01:30.00
t95,final_inspection,m10,,mission,120.421,12.5547,2026-01-01T08:01:30.00
t88,inspect,m10,m10_s1,segment,97.8772,92.2883,2026-01-01T08:01:30.00
t89,harvest,m10,m10_s1,segment,97.8772,92.2883,2026-01-01T08:01:30.00
t90,inspect,m10,m10_s2,segment,80.226,84.0871,2026-01-01T08:01:30.00
t91,spray,m10,m10_s2,segment,80.226,84.0871,2026-01-01T08:01:30.00
t92,harvest,m10,m10_s2,segment,80.226,84.0871,2026-01-01T08:01:30.00
t93,inspect,m10,m10_s3,segment,116.987,107.7334,2026-01-01T08:01:30.00
t94,harvest,m10,m10_s3,segment,116.987,107.7334,2026-01-01T08:01:30.00
t96,survey_field,m11,,mission,97.9792,33.1593,2026-01-01T08:01:40.00
t105,final_inspection,m11,,mission,97.9792,33.1593,2026-01-01T08:01:40.00
t97,inspect,m11,m11_s1,segment,88.2694,193.7356,2026-01-01T08:01:40.00
t98,spray,m11,m11_s1,segment,88.2694,193.7356,2026-01-01T08:01:40.00
t99,harvest,m11,m11_s1,segment,88.2694,193.7356,2026-01-01T08:01:40.00
t100,inspect,m11,m11_s2,segment,83.0347,7.0636,2026-01-01T08:01:40.00
t101,harvest,m11,m11_s2,segment,83.0347,7.0636,2026-01-01T08:01:40.00
t102,inspect,m11,m11_s3,segment,0.5661,107.0837,2026-01-01T08:01:40.00
t103,spray,m11,m11_s3,segment,0.5661,107.0837,2026-01-01T08:01:40.00
t104,harvest,m11,m11_s3,segment,0.5661,107.0837,2026-01-01T08:01:40.00
t106,survey_field,m12,,mission,10.1146,18.5487,2026-01-01T08:01:50.00
t114,final_inspection,m12,,mission,10.1146,18.5487,2026-01-01T08:01:50.00
t107,inspect,m12,m12_s1,segment,21.7513,90.8157,2026-01-01T08:01:50.00
t108,harvest,m12,m12_s1,segment,21.7513,90.8157,2026-01-01T08:01:50.00
t109,inspect,m12,m12_s2,segment,198.5376,97.0111,2026-01-01T08:01:50.00
t110,spray,m12,m12_s2,segment,198.5376,97.0111,2026-01-01T08:01:50.00
t111,harvest,m12,m12_s2,segment,198.5376,97.0111,2026-01-01T08:01:50.00
t112,inspect,m12,m12_s3,segment,91.7281,87.3022,2026-01-01T08:01:50.00
t113,harvest,m12,m12_s3,segment,91.7281,87.3022,2026-01-01T08:01:50.00
t115,survey_field,m13,,mission,100.2224,89.4175,2026-01-01T08:02:00.00
t124,final_inspection,m13,,mission,100.2224,89.4175,2026-01-01T08:02:00.00
t116,inspect,m13,m13_s1,segment,145.243,179.5883,2026-01-01T08:02:00.00
t117,spray,m13,m13_s1,segment,145.243,179.5883,2026-01-01T08:02:00.00
t118,harvest,m13,m13_s1,segment,145.243,179.5883,2026-01-01T08:02:00.00
t119,inspect,m13,m13_s2,segment,139.5741,84.6621,2026-01-01T08:02:00.00
t120,harvest,m13,m13_s2,segment,139.5741,84.6621,2026-01-01T08:02:00.00
t121,inspect,m13,m13_s3,segment,129.9058,181.9081,2026-01-01T08:02:00.00
t122,spray,m13,m13_s3,segment,129.9058,181.9081,2026-01-01T08:02:00.00
t123,harvest,m13,m13_s3,segment,129.9058,181.9081,2026-01-01T08:02:00.00
t125,survey_field,m14,,mission,30.7255,47.4685,2026-01-01T08:02:10.00
t133,final_inspection,m14,,mission,30.7255,47.4685,2026-01-01T08:02:10.00
t126,inspect,m14,m14_s1,segment,123.8224,137.404,2026-01-01T08:02:10.00
t127,harvest,m14,m14_s1,segment,123.8224,137.404,2026-01-01T08:02:10.00
t128,inspect,m14,m14_s2,segment,128.52,117.7057,2026-01-01T08:02:10.00
t129,spray,m14,m14_s2,segment,128.52,117.7057,2026-01-01T08:02:10.00
t130,harvest,m14,m14_s2,segment,128.52,117.7057,2026-01-01T08:02:10.00
t131,inspect,m14,m14_s3,segment,165.8846,95.7886,2026-01-01T08:02:10.00
t132,harvest,m14,m14_s3,segment,165.8846,95.7886,2026-01-01T08:02:10.00
t134,survey_field,m15,,mission,161.5178,192.4712,2026-01-01T08:02:20.00
t143,final_inspection,m15,,mission,161.5178,192.4712,2026-01-01T08:02:20.00
t135,inspect,m15,m15_s1,segment,87.0713,171.7691,2026-01-01T08:02:20.00
t136,spray,m15,m15_s1,segment,87.0713,171.7691,2026-01-01T08:02:20.00
t137,harvest,m15,m15_s1,segment,87.0713,171.7691,2026-01-01T08:02:20.00
t138,inspect,m15,m15_s2,segment,143.6485,177.7363,2026-01-01T08:02:20.00
t139,harvest,m15,m15_s2,segment,143.6485,177.7363,2026-01-01T08:02:20.00
t140,inspect,m15,m15_s3,segment,9.2472,182.6197,2026-01-01T08:02:20.00
t141,spray,m15,m15_s3,segment,9.2472,182.6197,2026-01-01T08:02:20.00
t142,harvest,m15,m15_s3,segment,9.2472,182.6197,2026-01-01T08:02:20.00
t144,survey_field,m16,,mission,153.3677,192.4758,2026-01-01T08:02:30.00
t152,final_inspection,m16,,mission,153.3677,192.4758,2026-01-01T08:02:30.00
t145,inspect,m16,m16_s1,segment,196.2639,57.0971,2026-01-01T08:02:30.00
t146,harvest,m16,m16_s1,segment,196.2639,57.0971,2026-01-01T08:02:30.00
t147,inspect,m16,m16_s2,segment,134.0003,28.2547,2026-01-01T08:02:30.00
t148,spray,m16,m16_s2,segment,134.0003,28.2547,2026-01-01T08:02:30.00
t149,harvest,m16,m16_s2,segment,134.0003,28.2547,2026-01-01T08:02:30.00
t150,inspect,m16,m16_s3,segment,119.0266,183.9159,2026-01-01T08:02:30.00
t151,harvest,m16,m16_s3,segment,119.0266,183.9159,2026-01-01T08:02:30.00
t153,survey_field,m17,,mission,38.3947,69.9737,2026-01-01T08:02:40.00
t162,final_inspection,m17,,mission,38.3947,69.9737,2026-01-01T08:02:40.00
t154,inspect,m17,m17_s1,segment,15.9491,38.9313,2026-01-01T08:02:40.00
t155,spray,m17,m17_s1,segment,15.9491,38.9313,2026-01-01T08:02:40.00
t156,harvest,m17,m17_s1,segment,15.9491,38.9313,2026-01-01T08:02:40.00
t157,inspect,m17,m17_s2,segment,41.5405,19.2002,2026-01-01T08:02:40.00
t158,harvest,m17,m17_s2,segment,41.5405,19.2002,2026-01-01T08:02:40.00
t159,inspect,m17,m17_s3,segment,199.9396,177.5068,2026-01-01T08:02:40.00
t160,spray,m17,m17_s3,segment,199.9396,177.5068,2026-01-01T08:02:40.00
t161,harvest,m17,m17_s3,segment,199.9396,177.5068,2026-01-01T08:02:40.00
t163,survey_field,m18,,mission,92.752,148.7405,2026-01-01T08:02:50.00
t171,final_inspection,m18,,mission,92.752,148.7405,2026-01-01T08:02:50.00
t164,inspect,m18,m18_s1,segment,139.0474,104.4909,2026-01-01T08:02:50.00
t165,harvest,m18,m18_s1,segment,139.0474,104.4909,2026-01-01T08:02:50.00
t166,inspect,m18,m18_s2,segment,84.6974,132.8147,2026-01-01T08:02:50.00
t167,spray,m18,m18_s2,segment,84.6974,132.8147,2026-01-01T08:02:50.00
t168,harvest,m18,m18_s2,segment,84.6974,132.8147,2026-01-01T08:02:50.00
t169,inspect,m18,m18_s3,segment,111.104,53.178,2026-01-01T08:02:50.00
t170,harvest,m18,m18_s3,segment,111.104,53.178,2026-01-01T08:02:50.00
t172,survey_field,m19,,mission,72.8651,125.4534,2026-01-01T08:03:00.00
t181,final_inspection,m19,,mission,72.8651,125.4534,2026-01-01T08:03:00.00
t173,inspect,m19,m19_s1,segment,125.4258,41.9188,2026-01-01T08:03:00.00
t174,spray,m19,m19_s1,segment,125.4258,41.9188,2026-01-01T08:03:00.00
t175,harvest,m19,m19_s1,segment,125.4258,41.9188,2026-01-01T08:03:00.00
t176,inspect,m19,m19_s2,segment,121.9546,174.9858,2026-01-01T08:03:00.00
t177,harvest,m19,m19_s2,segment,121.9546,174.9858,2026-01-01T08:03:00.00
t178,inspect,m19,m19_s3,segment,174.2675,130.4527,2026-01-01T08:03:00.00
t179,spray,m19,m19_s3,segment,174.2675,130.4527,2026-01-01T08:03:00.00
t180,harvest,m19,m19_s3,segment,174.2675,130.4527,2026-01-01T08:03:00.00
t182,survey_field,m20,,mission,14.0345,84.7036,2026-01-01T08:03:10.00
t190,final_inspection,m20,,mission,14.0345,84.7036,2026-01-01T08:03:10.00
t183,inspect,m20,m20_s1,segment,17.8045,11.05,2026-01-01T08:03:10.00
t184,harvest,m20,m20_s1,segment,17.8045,11.05,2026-01-01T08:03:10.00
t185,inspect,m20,m20_s2,segment,50.9396,91.3748,2026-01-01T08:03:10.00
t186,spray,m20,m20_s2,segment,50.9396,91.3748,2026-01-01T08:03:10.00
t187,harvest,m20,m20_s2,segment,50.9396,91.3748,2026-01-01T08:03:10.00
t188,inspect,m20,m20_s3,segment,151.8799,125.7683,2026-01-01T08:03:10.00
t189,harvest,m20,m20_s3,segment,151.8799,125.7683,2026-01-01T08:03:10.00
